"domeinnaamregistratie";"Officiële naam organisatie";"TOOi URI organisatie";"Registratiehouder";"Registrar";"Eerste registratiedatum";"Doel";"Einde registratie"
"duurzamertilburg.nl";"Gemeente Tilburg";"https://identifier.overheid.nl/tooi/id/gemeente/gm0855";"Onbekend";"";"";"Onbekend";""
"finbuddy.nl";"Gemeente Tilburg";"https://identifier.overheid.nl/tooi/id/gemeente/gm0855";"Onbekend";"";"";"Onbekend";""
"raadtilburg.nl";"Gemeente Tilburg";"https://identifier.overheid.nl/tooi/id/gemeente/gm0855";"Onbekend";"";"";"Onbekend";""
"deverkiezingenenik.nl";"Gemeente Tilburg";"https://identifier.overheid.nl/tooi/id/gemeente/gm0855";"Onbekend";"";"";"Onbekend";""
"maakjepunt.nl";"Gemeente Tilburg";"https://identifier.overheid.nl/tooi/id/gemeente/gm0855";"Onbekend";"";"";"Onbekend";""
"ibabs.com";"Gemeente Tilburg";"https://identifier.overheid.nl/tooi/id/gemeente/gm0855";"Onbekend";"";"";"Onbekend";""
"tilburg.nl";"Gemeente Tilburg";"https://identifier.overheid.nl/tooi/id/gemeente/gm0855";"Onbekend";"";"";"Onbekend";""
"leerplichtdoorstroompuntmiddenbrabant.nl";"Gemeente Tilburg";"https://identifier.overheid.nl/tooi/id/gemeente/gm0855";"Onbekend";"";"";"Onbekend";""
"lemontilburg.nl";"Gemeente Tilburg";"https://identifier.overheid.nl/tooi/id/gemeente/gm0855";"Onbekend";"";"";"Onbekend";""
"onderzoekscommissiechroom6.nl";"Gemeente Tilburg";"https://identifier.overheid.nl/tooi/id/gemeente/gm0855";"Onbekend";"";"";"Onbekend";""
"rekenkamertilburg.nl";"Gemeente Tilburg";"https://identifier.overheid.nl/tooi/id/gemeente/gm0855";"Onbekend";"";"";"Onbekend";""
"rozemaandag.nl";"Gemeente Tilburg";"https://identifier.overheid.nl/tooi/id/gemeente/gm0855";"Onbekend";"";"";"Onbekend";""
"spoorzonetilburg.nl";"Gemeente Tilburg";"https://identifier.overheid.nl/tooi/id/gemeente/gm0855";"Onbekend";"";"";"Onbekend";""
"fitenvitaaltilburg.nl";"Gemeente Tilburg";"https://identifier.overheid.nl/tooi/id/gemeente/gm0855";"Onbekend";"";"";"Onbekend";""
"sportintilburg.nl";"Gemeente Tilburg";"https://identifier.overheid.nl/tooi/id/gemeente/gm0855";"Onbekend";"";"";"Onbekend";""
"tryouttilburg.nl";"Gemeente Tilburg";"https://identifier.overheid.nl/tooi/id/gemeente/gm0855";"Onbekend";"";"";"Onbekend";""
"stadsbos013.nl";"Gemeente Tilburg";"https://identifier.overheid.nl/tooi/id/gemeente/gm0855";"Onbekend";"";"";"Onbekend";""
"t-helpt.nl";"Gemeente Tilburg";"https://identifier.overheid.nl/tooi/id/gemeente/gm0855";"Onbekend";"";"";"Onbekend";""
"vandaagvoorlater.nl";"Gemeente Tilburg";"https://identifier.overheid.nl/tooi/id/gemeente/gm0855";"Onbekend";"";"";"Onbekend";""
"werkeninkomentilburg.nl";"Gemeente Tilburg";"https://identifier.overheid.nl/tooi/id/gemeente/gm0855";"Onbekend";"";"";"Onbekend";""
"werkenvoortilburg.nl";"Gemeente Tilburg";"https://identifier.overheid.nl/tooi/id/gemeente/gm0855";"Onbekend";"";"";"Onbekend";""
"detilburgsekermis.nl";"Gemeente Tilburg";"https://identifier.overheid.nl/tooi/id/gemeente/gm0855";"Onbekend";"";"";"Onbekend";""
"valkenswaard.nl";"Gemeente Valkenswaard";"https://identifier.overheid.nl/tooi/id/gemeente/gm0858";"Gemeente Valkenswaard";"";"";"E-mail";""
"veendam.nl";"Gemeente Veendam";"https://identifier.overheid.nl/tooi/id/gemeente/gm0047";"Gemeente Veendam";"team.blue nl B.V. Vondellaan 47 2332AA Leiden Netherlands";"30-08-1997";"Hosting";""
"vanberesteyn.nl";"Gemeente Veendam";"https://identifier.overheid.nl/tooi/id/gemeente/gm0047";"Cultuurcentrum VanBeresteyn";"SLASH2 Boterdiep 117 4 9712LM GRONINGEN Netherlands";"";"Hosting";""
"tropiqua.nl";"Gemeente Veendam";"https://identifier.overheid.nl/tooi/id/gemeente/gm0047";"Gemeente Veendam";"team.blue nl B.V. Vondellaan 47 2332AA Leiden Netherlands";"05-04-2006";"Hosting";""
"werkenvoorgroningen.nl";"Gemeente Veendam";"https://identifier.overheid.nl/tooi/id/gemeente/gm0047";"Gemeente Midden Groningen";"CJ2 Hosting B.V. De Deimten 11 9747AV Groningen Netherlands";"27-11-2017";"Hosting";""
"buitenwoel-veendam.nl";"Gemeente Veendam";"https://identifier.overheid.nl/tooi/id/gemeente/gm0047";"Gemeente Veendam";"team.blue nl B.V. Vondellaan 47 2332AA Leiden Netherlands";"23-09-2005";"Hosting";"26-10-2025"
"dekompanjie.nl";"Gemeente Veendam";"https://identifier.overheid.nl/tooi/id/gemeente/gm0047";"De Kompanjie";"team.blue nl B.V. Vondellaan 47 2332AA Leiden Netherlands";"29-10-2010";"Hosting";""
"kerkhofveendam.nl";"Gemeente Veendam";"https://identifier.overheid.nl/tooi/id/gemeente/gm0047";"Gemeente Veendam";"Realtime Register Burgemeester Drijbersingel 51 8021JB Zwolle Netherlands";"18-04-2006";"Hosting";""
"shvw.nl";"Gemeente Veendam";"https://identifier.overheid.nl/tooi/id/gemeente/gm0047";"Gemeente Veendam";"team.blue nl B.V. Vondellaan 47 2332AA Leiden Netherlands";"30-07-2014";"Hosting";""
"veendambeweegt.nl";"Gemeente Veendam";"https://identifier.overheid.nl/tooi/id/gemeente/gm0047";"Gemeente Veendam";"Realtime Register Burgemeester Drijbersingel 51 8021JB Zwolle Netherlands";"30-11-2018";"Hosting";""
"veenjagerspad.nl";"Gemeente Veendam";"https://identifier.overheid.nl/tooi/id/gemeente/gm0047";"Gemeente Veendam";"Realtime Register Burgemeester Drijbersingel 51 8021JB Zwolle Netherlands";"";"Reservering";""
"woneninhetriet.nl";"Gemeente Veendam";"https://identifier.overheid.nl/tooi/id/gemeente/gm0047";"Gemeente Veendam";"team.blue nl B.V. Vondellaan 47 2332AA Leiden Netherlands";"";"Hosting";""
"adviesraadsociaaldomein-venlo.nl";"Gemeente Venlo";"https://identifier.overheid.nl/tooi/id/gemeente/gm0983";"Onbekend";"";"";"Onbekend";""
"venlo.nl";"Gemeente Venlo";"https://identifier.overheid.nl/tooi/id/gemeente/gm0983";"Onbekend";"";"";"Onbekend";""
"venlo.nu";"Gemeente Venlo";"https://identifier.overheid.nl/tooi/id/gemeente/gm0983";"Onbekend";"";"";"Onbekend";""
"venloonline.nl";"Gemeente Venlo";"https://identifier.overheid.nl/tooi/id/gemeente/gm0983";"Onbekend";"";"";"Onbekend";""
"vierpaardjesvenlo.nl";"Gemeente Venlo";"https://identifier.overheid.nl/tooi/id/gemeente/gm0983";"Onbekend";"";"";"Onbekend";""
"vitaalinvenlo.nl";"Gemeente Venlo";"https://identifier.overheid.nl/tooi/id/gemeente/gm0983";"Onbekend";"";"";"Onbekend";""
"broekgraaf.nl";"Gemeente Vijfheerenlanden";"https://identifier.overheid.nl/tooi/id/gemeente/gm1961";"Onbekend";"";"";"Onbekend";""
"helsdingen.nl";"Gemeente Vijfheerenlanden";"https://identifier.overheid.nl/tooi/id/gemeente/gm1961";"Onbekend";"";"";"Onbekend";""
"vijfheerenlandenactief.nl";"Gemeente Vijfheerenlanden";"https://identifier.overheid.nl/tooi/id/gemeente/gm1961";"Onbekend";"";"";"Onbekend";""
"vijfheerenlanden.nl";"Gemeente Vijfheerenlanden";"https://identifier.overheid.nl/tooi/id/gemeente/gm1961";"Onbekend";"";"";"Onbekend";""
"zorg4vijfheerenlanden.nl";"Gemeente Vijfheerenlanden";"https://identifier.overheid.nl/tooi/id/gemeente/gm1961";"Onbekend";"";"";"Onbekend";""
"archiefvlieland.nl";"Gemeente Vlieland";"https://identifier.overheid.nl/tooi/id/gemeente/gm0096";"Onbekend";"";"";"Onbekend";""
"vlieland.nl";"Gemeente Vlieland";"https://identifier.overheid.nl/tooi/id/gemeente/gm0096";"Onbekend";"";"";"Onbekend";""
"westerkwartier.nl";"Gemeente Westerkwartier";"https://identifier.overheid.nl/tooi/id/gemeente/gm1969";"Onbekend";"";"";"Onbekend";""
"kringloopwesterkwartier.nl";"Gemeente Westerkwartier";"https://identifier.overheid.nl/tooi/id/gemeente/gm1969";"Onbekend";"";"";"Onbekend";""
"novatec.nl";"Gemeente Westerkwartier";"https://identifier.overheid.nl/tooi/id/gemeente/gm1969";"Onbekend";"";"";"Onbekend";""
"vanarmnaarbeter.nl";"Gemeente Westerkwartier";"https://identifier.overheid.nl/tooi/id/gemeente/gm1969";"Onbekend";"";"";"Onbekend";""
"omgevingstrajectgrijpskerknorg.nl";"Gemeente Westerkwartier";"https://identifier.overheid.nl/tooi/id/gemeente/gm1969";"Onbekend";"";"";"Onbekend";""
"werkenbijwoerden.nl";"Gemeente Woerden";"https://identifier.overheid.nl/tooi/id/gemeente/gm0632";"Onbekend";"";"";"Onbekend";""
"snellerpoort.nl";"Gemeente Woerden";"https://identifier.overheid.nl/tooi/id/gemeente/gm0632";"Onbekend";"";"";"Onbekend";""
"woerden.nl";"Gemeente Woerden";"https://identifier.overheid.nl/tooi/id/gemeente/gm0632";"Onbekend";"";"";"Onbekend";""
"woerdenwijzer.nl";"Gemeente Woerden";"https://identifier.overheid.nl/tooi/id/gemeente/gm0632";"Onbekend";"";"";"Onbekend";""
"bereikbaarzoetermeer.nl";"Gemeente Zoetermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0637";"Onbekend";"";"";"Onbekend";""
"energieloketzoetermeer.nl";"Gemeente Zoetermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0637";"Onbekend";"";"";"Onbekend";""
"kavelszoetermeer.nl";"Gemeente Zoetermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0637";"Onbekend";"";"";"Onbekend";""
"pvzoetermeer.nl";"Gemeente Zoetermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0637";"Onbekend";"";"";"Onbekend";""
"scalebooster.nl";"Gemeente Zoetermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0637";"Onbekend";"";"";"Onbekend";""
"welkom2.nl";"Gemeente Zoetermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0637";"Onbekend";"";"";"Onbekend";""
"meerpunt.nl";"Gemeente Zoetermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0637";"Onbekend";"";"";"Onbekend";""
"tzho.nl";"Gemeente Zoetermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0637";"Onbekend";"";"";"Onbekend";""
"terzakehetondernemershuis.nl";"Gemeente Zoetermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0637";"Onbekend";"";"";"Onbekend";""
"uitagendazoetermeer.nl";"Gemeente Zoetermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0637";"Onbekend";"";"";"Onbekend";""
"vrijetijdzoetermeer.nl";"Gemeente Zoetermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0637";"Onbekend";"";"";"Onbekend";""
"zoetermeer.nl";"Gemeente Zoetermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0637";"Onbekend";"";"";"Onbekend";""
"zoetermeer.eu";"Gemeente Zoetermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0637";"Onbekend";"";"";"Onbekend";""
"zoetermeerpas.nl";"Gemeente Zoetermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0637";"Onbekend";"";"";"Onbekend";""
"zoetermeerwijzer.nl";"Gemeente Zoetermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0637";"Onbekend";"";"";"Onbekend";""
"geheugenvanzoetermeer.nl";"Gemeente Zoetermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0637";"Onbekend";"";"";"Onbekend";""
"werkenbijzoetermeer.nl";"Gemeente Zoetermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0637";"Onbekend";"";"";"Onbekend";""
"zoetermeerisdeplek.nl";"Gemeente Zoetermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0637";"Onbekend";"";"";"Onbekend";""
"cultuur079.nl";"Gemeente Zoetermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0637";"Onbekend";"";"";"Onbekend";""
"entreezoetermeer.nl";"Gemeente Zoetermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0637";"Onbekend";"";"";"Onbekend";""
"gemeentezoetermeer.eu";"Gemeente Zoetermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0637";"Onbekend";"";"";"Onbekend";""
"huwelijkinzoetermeer.nl";"Gemeente Zoetermeer";"https://identifier.overheid.nl/tooi/id/gemeente/gm0637";"Onbekend";"";"";"Onbekend";""
