domein,url,status,score,created_at,completed_at
www.rechtspraak.nl,https://www.rechtspraak.nl/,done,2.0,2026-03-24 07:20:30.613831+00,2026-03-24 07:21:14.204155+00
iburgerzaken.bodegraven-reeuwijk.nl,https://iburgerzaken.bodegraven-reeuwijk.nl/gaas-web/server/continue/StartReisdocument#burgerzaken,done,5.0,2026-03-23 19:48:31.5335+00,2026-03-23 19:49:22.104056+00
www.pinkroccadelocalgovernment.nl,https://www.pinkroccadelocalgovernment.nl/,done,,2026-03-23 19:14:57.04667+00,2026-03-23 19:15:51.972762+00
delft.nl,https://delft.nl/,done,,2026-03-23 19:04:01.321703+00,2026-03-23 19:04:47.449047+00
athide.nl,https://athide.nl/,done,,2026-03-23 18:59:09.951752+00,2026-03-23 18:59:54.717132+00
gouda.mijnafspraakmaken.nl,https://gouda.mijnafspraakmaken.nl/,done,,2026-03-23 15:08:35.730657+00,2026-03-23 15:09:23.688621+00
groningen.nl,https://groningen.nl/,done,,2026-03-23 15:04:36.709297+00,2026-03-23 15:05:49.192893+00
www.ibizz.nl,https://www.ibizz.nl/,done,,2026-03-23 14:43:59.155837+00,2026-03-23 14:45:11.82609+00
vng.nl,https://vng.nl/,done,,2026-03-23 14:05:27.909129+00,2026-03-23 14:06:15.975046+00
bravis,https://bravis/,done,,2026-03-23 12:47:45.902356+00,2026-03-23 12:47:48.449992+00
mxi.nl,https://mxi.nl/,done,,2026-03-23 12:47:25.854898+00,2026-03-23 12:48:28.327594+00
bravis.nl,https://bravis.nl/,done,,2026-03-23 11:11:24.899799+00,2026-03-23 11:12:26.556555+00
